"","District","Age (mean)","SD"
"1","Arua",36.3,10.3
"2","Dokolo",40.2,10.4
"3","Kaberamaido",42.5,12.9
"4","Luwero",42.6,10.6
"5","Mityana",43,15.3
"6","Serere",39.9,8.8
