"","Estimate","Std. Error","z value","Pr(>|z|)"
"NAROCASS 1",0,NA,NA,NA
"UG130016 ",-0.441,0.407,-1.085,0.278
"UG110164",-0.525,0.268,-1.96,0.05
"UGC14170",-0.66,0.273,-2.421,0.015
"UG15F170P507",-0.78,0.266,-2.929,0.003
"UG15F302P513",-0.787,0.276,-2.854,0.004
"UG15F177P502",-0.807,0.261,-3.088,0.002
"MM20180054",-0.82,0.265,-3.098,0.002
"UG130007",-0.829,0.391,-2.121,0.034
"UG120193",-0.838,0.42,-1.997,0.046
"UG15FF265P001",-0.84,0.273,-3.073,0.002
"UG15F140P003",-0.843,0.266,-3.174,0.002
"UG120124",-0.907,0.404,-2.246,0.025
"UG120156",-1.19,0.411,-2.898,0.004
"MM16/1627  ",-1.233,0.41,-3.009,0.003
"UG15F106P002",-1.551,0.292,-5.318,0
"MM06/123",-1.914,0.418,-4.575,0
"UG120180",-2.088,0.43,-4.861,0
"UG120198",-2.29,0.445,-5.145,0
"MM16/0707",-2.341,0.447,-5.235,0
"UG120024 ",-3.721,0.563,-6.612,0
