"","Estimate","Std. Error","z value","Pr(>|z|)"
"NAROCASS 1",0,NA,NA,NA
"UG130016 ",-0.466,0.43,-1.085,0.278
"UG110164",-0.595,0.329,-1.807,0.071
"UG130007",-0.694,0.412,-1.683,0.092
"UG15F302P513",-0.849,0.325,-2.612,0.009
"UG15F177P502",-0.85,0.326,-2.606,0.009
"UG120193",-0.882,0.448,-1.969,0.049
"MM20180054",-0.937,0.321,-2.916,0.004
"UG15F140P003",-0.944,0.321,-2.938,0.003
"UG120124",-1.046,0.432,-2.424,0.015
"UG15FF265P001",-1.089,0.331,-3.295,0.001
"UG15F170P507",-1.171,0.339,-3.451,0.001
"UGC14170",-1.296,0.336,-3.859,0
"MM16/1627  ",-1.327,0.434,-3.061,0.002
"UG15F106P002",-1.429,0.349,-4.098,0
"UG120156",-1.453,0.435,-3.336,0.001
"MM06/123",-2.005,0.442,-4.537,0
"UG120180",-2.164,0.452,-4.79,0
"MM16/0707",-2.417,0.465,-5.194,0
"UG120198",-2.453,0.469,-5.224,0
"UG120024 ",-3.774,0.581,-6.494,0
