"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"UGC14170","UG15F302P513","UG15F170P507","A","B",58,"Kibaale","Male",30.9553,0.9466724,2021-09-27,2022-09-27,2
"UG110164","NAROCASS 1","UG15F177P502","B","A",37,"Kibaale","Male",30.96117,0.9468735,2021-09-27,2022-09-27,2
"UG15F106P002","UG15F170P507","UG15F140P003","B","A",55,"Luwero","Female",32.64248,0.7110426,2021-09-25,2022-09-25,2
"UG15FF265P001","MM20180054","UGC14170","B","A",39,"Luwero","Female",32.63966,0.7139726,2021-09-25,2022-09-25,2
"UG15F140P003","UG15FF265P001","UG110164","B","A",46,"Luwero","Male",32.6309,0.7081142,2021-09-25,2022-09-25,2
"UG15F170P507","UG15F302P513","UG15F177P502","B","C",40,"Luwero","Female",32.64544,0.7247319,2021-09-25,2022-09-25,2
"NAROCASS 1","UG15F106P002","MM20180054","A","C",62,"Luwero","Male",32.63171,0.7160337,2021-09-25,2022-09-25,2
"UGC14170","UG110164","NAROCASS 1","B","A",50,"Luwero","Female",32.6374,0.7046764,2021-09-25,2022-09-25,2
"UG15F302P513","MM20180054","UG15FF265P001","B","C",53,"Luwero","Female",32.64195,0.7087279,2021-09-25,2022-09-25,2
"UG15F177P502","UG15F140P003","UGC14170","C","B",49,"Luwero","Female",32.65398,0.7056588,2021-09-25,2022-09-25,2
"UG110164","UG15F170P507","UG15F106P002","B","C",40,"Luwero","Female",32.63844,0.7016441,2021-09-25,2022-09-25,2
"NAROCASS 1","UG15F170P507","UG15F302P513","A","B",57,"Luwero","Female",32.6495,0.699643,2021-09-25,2022-09-25,2
"UG15F106P002","UG15F177P502","MM20180054","B","C",30,"Luwero","Male",32.62475,0.7008137,2021-09-25,2022-09-25,2
"UG15F170P507","UGC14170","UG15F140P003","C","A",55,"Luwero","Male",32.62442,0.7069302,2021-09-25,2022-09-25,2
"UG15F140P003","UG15FF265P001","UG15F106P002","A","B",39,"Luwero","Female",32.57723,0.6735038,2021-09-24,2022-09-24,2
"UG15F302P513","UG15F177P502","UG110164","C","A",66,"Luwero","Male",32.57927,0.6750612,2021-09-24,2022-09-24,2
"MM20180054","NAROCASS 1","UG15F140P003","C","A",27,"Luwero","Female",32.57732,0.6683351,2021-09-24,2022-09-24,2
"UG110164","MM20180054","UGC14170","A","C",26,"Luwero","Male",32.58157,0.6738909,2021-09-24,2022-09-24,2
"UG15F302P513","UG15FF265P001","UG15F170P507","C","A",57,"Luwero","Female",32.58311,0.6864828,2021-09-25,2022-09-25,2
"UGC14170","UG15F106P002","UG15F177P502","A","C",40,"Luwero","Female",32.57505,0.6719149,2021-09-24,2022-09-24,2
"UG15F106P002","UG110164","UG15F170P507","C","B",60,"Luwero","Male",32.57501,0.6738989,2021-09-24,2022-09-24,2
"UG15F177P502","UG15F302P513","NAROCASS 1","C","A",27,"Luwero","Male",32.57991,0.6741022,2021-09-24,2022-09-24,2
"MM20180054","UG15F140P003","UG15F302P513","C","A",40,"Luwero","Male",32.58998,0.6682701,2021-09-24,2022-09-24,2
"UG15F170P507","MM20180054","UG15FF265P001","C","A",67,"Luwero","Female",32.57892,0.6676304,2021-09-24,2022-09-24,2
"NAROCASS 1","UG15F140P003","UG15F106P002","A","C",41,"Luwero","Male",32.58014,0.6740796,2021-09-24,2022-09-24,2
"UG15FF265P001","UGC14170","UG15F177P502","A","C",60,"Luwero","Male",32.45239,0.8677732,2021-09-23,2022-09-23,2
"UG110164","NAROCASS 1","UG15FF265P001","A","C",61,"Luwero","Male",32.44725,0.8704094,2021-09-23,2022-09-23,2
"UG15F140P003","UG15F302P513","UGC14170","B","C",54,"Luwero","Female",32.44473,0.8561211,2021-09-23,2022-09-23,2
"UG15F177P502","UG15F170P507","MM20180054","A","C",53,"Luwero","Female",32.43488,0.8689826,2021-09-23,2022-09-23,2
"UG15F106P002","UG110164","UG15F302P513","B","A",31,"Luwero","Male",32.42921,0.858764,2021-09-23,2022-09-23,2
"UGC14170","UG15F106P002","MM20180054","C","A",33,"Luwero","Female",32.45134,0.8662503,2021-09-23,2022-09-23,2
"UG15F170P507","UG15FF265P001","UG110164","A","C",50,"Luwero","Male",32.42896,0.8590171,2021-09-23,2022-09-23,2
"UG15F302P513","UG15F177P502","UG110164","C","A",22,"Luwero","Male",32.4425,0.855618,2021-09-23,2022-09-23,2
"MM20180054","UG15F106P002","UG15F170P507","C","A",56,"Luwero","Female",32.44194,0.8654665,2021-09-23,2022-09-23,2
"UG15F140P003","UGC14170","NAROCASS 1","C","B",56,"Luwero","Female",32.44188,0.8560648,2021-09-23,2022-09-23,2
"UG15FF265P001","NAROCASS 1","UG15F106P002","B","C",58,"Luwero","Female",32.4452,0.8567413,2021-09-23,2022-09-23,2
"UGC14170","MM20180054","UG15F302P513","A","B",36,"Luwero","Female",32.57308,0.8263743,2021-09-23,2022-09-23,2
"MM20180054","UG15FF265P001","UG15F177P502","C","B",21,"Luwero","Male",32.57306,0.8263437,2021-09-23,2022-09-23,2
"NAROCASS 1","UG15F140P003","UG15FF265P001","B","C",38,"Luwero","Female",32.58274,0.8283624,2021-09-24,2022-09-24,2
"UG110164","UG15F302P513","NAROCASS 1","B","A",54,"Luwero","Male",32.57578,0.8242474,2021-09-24,2022-09-24,2
"UG15FF265P001","UGC14170","UG15F177P502","C","A",26,"Luwero","Male",32.57236,0.8257271,2021-09-23,2022-09-23,2
"UG15F140P003","UG15F177P502","UG15F302P513","B","A",57,"Luwero","Male",32.58929,0.8185937,2021-09-24,2022-09-24,2
"UG15F170P507","NAROCASS 1","UG15F106P002","B","A",40,"Kibaale","Female",32.58458,0.8260846,2021-09-24,2022-09-24,2
"UG15F140P003","UG15FF265P001","UG110164","C","B",59,"Luwero","Female",32.57347,0.8299783,2021-09-24,2022-09-24,2
"UG15F106P002","MM20180054","UGC14170","A","C",28,"Arua","Male",30.94767,2.722691,2021-09-25,2022-09-25,2
"MM20180054","UG15F170P507","UG15FF265P001","C","A",48,"Arua","Female",30.90135,2.702164,2021-09-26,2022-09-26,2
"UG15F177P502","UG110164","NAROCASS 1","C","B",28,"Arua","Female",30.88742,2.698323,2021-09-26,2022-09-26,2
"UG110164","UG15F140P003","UG15F170P507","B","C",47,"Arua","Female",30.88745,2.698473,2021-09-26,2022-09-26,2
"NAROCASS 1","UG15F302P513","UG15F106P002","B","C",35,"Arua","Female",30.88805,2.701068,2021-09-26,2022-09-26,2
"UGC14170","UG15F177P502","MM20180054","A","C",36,"Arua","Male",30.90135,2.702188,2021-09-26,2022-09-26,2
"UG15FF265P001","NAROCASS 1","UG15F177P502","B","C",48,"Arua","Female",30.88744,2.698427,2021-09-26,2022-09-26,2
"UG15F170P507","UG15F106P002","UGC14170","A","B",48,"Arua","Female",30.88742,2.69856,2021-09-26,2022-09-26,2
"UG15F106P002","MM20180054","UG15F140P003","C","B",47,"Arua","Male",30.88693,2.699251,2021-09-26,2022-09-26,2
"UG15F177P502","MM20180054","UG15F302P513","B","C",35,"Arua","Male",30.88695,2.699142,2021-09-26,2022-09-26,2
"NAROCASS 1","UG15F170P507","UG15FF265P001","B","C",34,"Arua","Male",30.91095,2.782459,2021-09-25,2022-09-25,2
"UG15F140P003","UGC14170","UG15F170P507","B","C",37,"Arua","Male",30.9026,2.785497,2021-09-25,2022-09-25,2
"MM20180054","UG110164","NAROCASS 1","C","A",38,"Arua","Male",30.89563,2.784099,2021-09-25,2022-09-25,2
"UG15F106P002","UG15F140P003","UG110164","B","A",40,"Arua","Male",30.9043,2.786161,2021-09-25,2022-09-25,2
"UG15F302P513","UGC14170","UG15F106P002","B","C",21,"Arua","Male",30.8972,2.78727,2021-09-25,2022-09-25,2
