"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"NAROCASS 1","MM16/0707","MM06/123","B","C",27,"Arua","Male",30.97033,2.954402,2019-04-29,2020-04-28,1
"UG120024 ","MM16/1627  ","UG130016 ","B","A",38,"Arua","Female",30.95748,2.947031,2019-04-30,2020-04-29,1
"UG120198","UG120180","UG130007","C","B",32,"Arua","Female",30.95237,2.945458,2019-04-30,2020-04-29,1
"UG120193","UG120198","UG120024 ","A","C",40,"Arua","Male",30.95726,2.944787,2019-04-30,2020-04-29,1
"UG120124","UG130016 ","UG120156","A","C",42,"Arua","Female",30.95633,2.947482,2019-04-30,2020-04-29,1
"UG130007","NAROCASS 1","MM16/1627  ","A","C",28,"Arua","Male",30.95175,2.940237,2019-04-30,2020-04-29,1
"MM16/0707","UG120193","UG120180","B","A",40,"Arua","Male",30.9586,2.945997,2019-04-30,2020-04-29,1
"UG120156","UG120180","UG120024 ","B","C",50,"Arua","Male",30.95632,2.94765,2019-04-30,2020-04-29,1
"NAROCASS 1","UG120124","UG120198","B","C",42,"Arua","Male",30.95662,2.948527,2019-04-28,2020-04-27,1
"UG130007","UG120156","MM16/0707","A","B",28,"Arua","Female",30.97878,2.850455,2019-04-29,2020-04-28,1
"MM16/1627  ","UG120024 ","MM06/123","A","B",19,"Arua","Female",30.96615,2.848675,2019-04-29,2020-04-28,1
"UG120180","MM16/1627  ","UG130016 ","C","B",45,"Arua","Female",30.96971,2.846469,2019-04-29,2020-04-28,1
"MM16/0707","UG120124","NAROCASS 1","A","C",39,"Arua","Male",30.97004,2.846814,2019-04-29,2020-04-28,1
"UG120198","MM06/123","UG120193","A","B",55,"Arua","Male",30.97161,2.8538,2019-04-28,2020-04-27,1
"UG120156","UG130007","UG120124","C","A",27,"Arua","Female",30.97828,2.850645,2019-04-29,2020-04-28,1
"MM16/1627  ","UG120198","UG130007","C","A",30,"Arua","Female",30.98383,2.86142,2019-04-29,2020-04-28,1
"UG120193","NAROCASS 1","UG120024 ","A","C",60,"Arua","Male",30.97674,2.849943,2019-04-29,2020-04-28,1
"UG130016 ","MM16/0707","UG120180","C","B",30,"Arua","Male",30.97208,2.851493,2019-04-28,2020-04-27,1
"MM06/123","UG130016 ","UG120124","B","A",45,"Dokolo","Female",33.12637,2.012037,2019-04-27,2020-04-26,1
"UG120180","NAROCASS 1","UG120198","B","C",41,"Dokolo","Female",33.12398,2.011112,2019-04-27,2020-04-26,1
"UG120193","UG130007","MM16/1627  ","A","C",40,"Dokolo","Male",33.13057,2.008462,2019-04-26,2020-04-25,1
"UG130007","UG120193","MM16/0707","A","C",70,"Dokolo","Male",33.12931,2.004073,2019-04-27,2020-04-26,1
"MM06/123","UG120193","UG130007","C","A",27,"Dokolo","Female",33.12701,2.004828,2019-04-27,2020-04-26,1
"NAROCASS 1","UG130016 ","MM16/0707","B","A",45,"Dokolo","Female",33.13256,1.938516,2019-04-27,2020-04-26,1
"UG120156","UG120024 ","UG120193","B","A",50,"Dokolo","Female",33.1299,1.937043,2019-04-27,2020-04-26,1
"UG130016 ","MM06/123","UG120180","C","B",42,"Dokolo","Male",33.12879,1.938588,2019-04-27,2020-04-26,1
"MM16/0707","UG120024 ","NAROCASS 1","C","B",45,"Dokolo","Female",33.12783,1.939636,2019-04-27,2020-04-26,1
"UG120124","MM16/1627  ","UG130007","A","B",22,"Dokolo","Female",33.12973,1.939112,2019-04-29,2020-04-28,1
"UG120198","UG120180","UG120156","C","B",45,"Dokolo","Female",33.13061,1.938402,2019-04-27,2020-04-26,1
"NAROCASS 1","UG120198","MM06/123","B","C",29,"Dokolo","Male",33.11799,1.946293,2019-04-27,2020-04-26,1
"UG120024 ","UG130007","UG120156","B","A",42,"Dokolo","Male",33.13882,1.946105,2019-04-27,2020-04-26,1
"UG120156","UG120124","UG120198","B","C",45,"Dokolo","Male",33.22715,1.96403,2019-04-26,2020-04-25,1
"MM16/1627  ","UG130016 ","NAROCASS 1","B","A",34,"Dokolo","Female",33.22957,1.960862,2019-04-26,2020-04-25,1
"MM06/123","UG120193","UG120024 ","B","A",48,"Dokolo","Male",33.23127,1.956998,2019-04-26,2020-04-25,1
"UG130007","MM06/123","UG120180","A","B",48,"Dokolo","Male",33.22742,1.957665,2019-04-26,2020-04-25,1
"UG120124","MM16/1627  ","UG120193","C","A",55,"Dokolo","Male",33.22497,1.952485,2019-04-26,2020-04-25,1
"UG130007","NAROCASS 1","MM16/0707","C","A",26,"Dokolo","Female",33.20315,1.937358,2019-04-26,2020-04-25,1
"UG120180","UG120156","MM16/1627  ","A","C",27,"Dokolo","Male",33.218,1.955042,2019-04-26,2020-04-25,1
"UG120024 ","MM16/0707","UG120124","C","A",27,"Dokolo","Female",33.23122,1.950723,2019-04-26,2020-04-25,1
"UG120198","UG130016 ","UG120193","B","A",40,"Dokolo","Female",33.23147,1.949292,2019-04-26,2020-04-25,1
"NAROCASS 1","UG120156","UG120024 ","A","C",40,"Dokolo","Male",33.12613,1.878458,2019-04-26,2020-04-25,1
"MM06/123","UG120180","UG120198","B","C",34,"Dokolo","Male",33.1299,1.86257,2019-04-26,2020-04-25,1
"UG130016 ","UG130007","UG120156","B","C",37,"Dokolo","Female",33.14272,1.900705,2019-04-26,2020-04-25,1
"UG120193","NAROCASS 1","MM06/123","B","C",35,"Dokolo","Female",33.14031,1.886942,2019-04-26,2020-04-25,1
"UG120180","UG120124","UG130007","A","B",46,"Dokolo","Male",33.18372,1.923368,2019-04-26,2020-04-25,1
"MM16/0707","UG120193","MM06/123","B","A",47,"Dokolo","Male",33.13193,1.894703,2019-04-29,2020-04-28,1
"UG120124","UG130016 ","NAROCASS 1","C","A",42,"Dokolo","Male",33.1333,1.892698,2019-04-26,2020-04-25,1
"UG120156","MM16/0707","MM16/1627  ","C","B",30,"Dokolo","Male",33.1304,1.888586,2019-04-26,2020-04-25,1
"MM16/1627  ","UG120124","UG120180","A","C",32,"Kaberamaido","Female",33.19928,1.739247,2019-04-28,2020-04-27,1
"UG120198","UG120156","UG120193","C","A",39,"Kaberamaido","Female",33.199,1.735605,2019-04-27,2020-04-26,1
"NAROCASS 1","MM06/123","UG120180","A","B",46,"Kaberamaido","Female",33.19788,1.737595,2019-04-28,2020-04-27,1
"UG130016 ","UG120024 ","UG130007","A","B",43,"Kaberamaido","Male",33.20184,1.741407,2019-04-28,2020-04-27,1
"MM06/123","UG120156","UG130016 ","C","A",36,"Kaberamaido","Female",33.19987,1.737412,2019-04-27,2020-04-26,1
"UG120193","NAROCASS 1","UG130007","A","C",38,"Kaberamaido","Female",33.20037,1.733093,2019-04-27,2020-04-26,1
"UG120198","UG120180","UG120024 ","A","C",62,"Kaberamaido","Male",33.19947,1.734438,2019-04-28,2020-04-27,1
"MM16/0707","MM06/123","UG120124","B","A",35,"Kaberamaido","Female",33.2056,1.734887,2019-04-28,2020-04-27,1
"UG130016 ","UG120198","MM16/1627  ","C","B",54,"Kaberamaido","Female",33.20712,1.742188,2019-04-28,2020-04-27,1
"UG120193","MM16/0707","UG120156","C","A",50,"Kaberamaido","Male",33.20195,1.740138,2019-04-28,2020-04-27,1
"UG120124","UG120024 ","NAROCASS 1","A","B",40,"Mityana","Male",33.18527,1.827973,2019-04-28,2020-04-27,1
"UG120180","MM16/1627  ","MM16/0707","B","A",30,"Kaberamaido","Female",33.2036,1.82507,2019-04-27,2020-04-26,1
"UG130007","UG120198","MM06/123","A","B",64,"Kaberamaido","Female",33.20325,1.825387,2019-04-28,2020-04-27,1
"UG120124","UG120193","UG120180","B","C",65,"Kaberamaido","Male",33.18782,1.82874,2019-04-27,2020-04-26,1
"UG130007","MM16/1627  ","UG120156","A","C",60,"Kaberamaido","Female",33.19996,1.827915,2019-04-28,2020-04-27,1
"MM06/123","NAROCASS 1","UG130016 ","C","A",30,"Kaberamaido","Male",33.20081,1.828352,2019-04-28,2020-04-27,1
"UG120156","UG120198","UG120024 ","A","C",52,"Kaberamaido","Male",33.18505,1.82877,2019-04-28,2020-04-27,1
"UG130016 ","UG130007","UG120124","C","B",21,"Kaberamaido","Male",33.18841,1.827943,2019-04-28,2020-04-27,1
"NAROCASS 1","MM16/0707","MM16/1627  ","C","A",29,"Kaberamaido","Male",33.19654,1.829423,2019-04-28,2020-04-27,1
"MM16/0707","UG120156","MM06/123","B","A",33,"Kaberamaido","Male",33.23774,1.897192,2019-04-28,2020-04-27,1
"UG120024 ","UG120124","UG130016 ","C","A",64,"Kaberamaido","Male",33.24287,1.883272,2019-04-28,2020-04-27,1
"MM16/1627  ","UG120193","UG120198","C","B",51,"Kaberamaido","Male",33.23706,1.89579,2019-04-28,2020-04-27,1
"UG120156","UG120180","NAROCASS 1","C","B",40,"Kaberamaido","Female",33.24385,1.894752,2019-04-28,2020-04-27,1
"UG120198","UG130007","MM16/0707","B","C",24,"Kaberamaido","Female",33.24669,1.895767,2019-04-28,2020-04-27,1
"UG120193","UG130016 ","UG130007","B","C",42,"Kaberamaido","Male",33.23703,1.896287,2019-04-28,2020-04-27,1
"NAROCASS 1","MM06/123","UG120124","A","C",39,"Kaberamaido","Female",33.24419,1.89527,2019-04-28,2020-04-27,1
"UG120180","MM16/1627  ","UG120024 ","B","C",29,"Kaberamaido","Male",33.23788,1.893568,2019-04-28,2020-04-27,1
"MM06/123","UG120193","UG120180","B","A",32,"Kaberamaido","Male",33.25355,1.890503,2019-04-28,2020-04-27,1
"UG120156","UG130016 ","UG120198","A","C",29,"Kaberamaido","Female",33.25032,1.886962,2019-04-28,2020-04-27,1
"UG130007","UG120024 ","NAROCASS 1","C","B",67,"Kaberamaido","Female",33.31713,1.887335,2019-04-27,2020-04-26,1
"MM16/0707","NAROCASS 1","MM16/1627  ","B","A",24,"Kaberamaido","Male",33.31339,1.885797,2019-04-28,2020-04-27,1
"UG120024 ","UG120124","UG120156","B","A",54,"Kaberamaido","Male",33.31342,1.888618,2019-04-28,2020-04-27,1
"MM16/1627  ","UG130016 ","MM06/123","B","A",30,"Kaberamaido","Female",33.32305,1.887467,2019-04-28,2020-04-27,1
"UG120124","UG120198","UG120193","A","B",44,"Kaberamaido","Male",33.32947,1.889642,2019-04-27,2020-04-26,1
"UG120180","UG120156","MM16/0707","B","C",47,"Kaberamaido","Female",33.32613,1.888683,2019-04-28,2020-04-27,1
"UG120198","MM16/0707","UG130007","A","B",60,"Kaberamaido","Male",33.31967,1.896458,2019-04-28,2020-04-27,1
"UG130016 ","UG130007","UG120124","A","B",31,"Kaberamaido","Female",33.31247,1.889702,2019-04-28,2020-04-27,1
"UG120193","MM16/1627  ","UG120024 ","A","C",38,"Kaberamaido","Male",33.31216,1.88975,2019-04-28,2020-04-27,1
"MM06/123","UG120124","UG120180","B","C",49,"Kaberamaido","Female",33.32152,1.892395,2019-04-28,2020-04-27,1
"NAROCASS 1","UG120180","UG130016 ","A","C",45,"Serere","Male",33.36567,1.474792,2019-04-27,2020-04-26,1
"UG130007","UG120024 ","MM06/123","A","B",45,"Serere","Male",33.35794,1.47831,2019-04-27,2020-04-26,1
"MM16/1627  ","UG120156","UG120198","A","C",47,"Serere","Male",33.3685,1.480192,2019-04-27,2020-04-26,1
"MM16/0707","UG120024 ","UG130016 ","B","A",38,"Serere","Male",33.36698,1.477528,2019-04-27,2020-04-26,1
"NAROCASS 1","MM06/123","MM16/1627  ","A","C",44,"Serere","Female",33.36783,1.474,2019-04-27,2020-04-26,1
"UG120198","UG120193","UG120180","B","C",37,"Serere","Female",33.36147,1.472232,2019-04-27,2020-04-26,1
"UG130016 ","UG130007","MM16/0707","B","C",40,"Serere","Female",33.35873,1.46678,2019-04-27,2020-04-26,1
"UG120193","UG120124","UG130007","A","B",36,"Serere","Female",33.36403,1.47458,2019-04-27,2020-04-26,1
"MM16/0707","UG120198","NAROCASS 1","C","A",39,"Serere","Male",33.35699,1.478195,2019-04-27,2020-04-26,1
"UG120124","MM06/123","UG120193","C","B",50,"Serere","Female",33.35824,1.437022,2019-04-28,2020-04-27,1
"UG130007","NAROCASS 1","UG120156","B","C",34,"Serere","Female",33.35574,1.432237,2019-04-28,2020-04-27,1
"UG120024 ","MM16/1627  ","NAROCASS 1","C","A",40,"Serere","Female",33.35753,1.43158,2019-04-28,2020-04-27,1
"MM06/123","MM16/0707","UG120180","A","C",49,"Serere","Female",33.35575,1.430715,2019-04-27,2020-04-26,1
"UG120156","UG120193","MM16/1627  ","B","A",25,"Serere","Female",33.35503,1.430372,2019-04-27,2020-04-26,1
"UG120198","UG130016 ","UG120124","B","A",46,"Serere","Male",33.35511,1.4294,2019-04-27,2020-04-26,1
"UG120024 ","UG120124","UG130007","B","A",38,"Serere","Male",33.36241,1.431767,2019-04-28,2020-04-27,1
"NAROCASS 1","UG120024 ","MM16/0707","A","B",53,"Serere","Female",33.54206,1.500743,2019-04-27,2020-04-26,1
"UG130007","MM16/1627  ","UG130016 ","B","A",44,"Serere","Female",33.55246,1.505148,2019-04-27,2020-04-26,1
"UG120180","UG120156","UG120193","A","C",25,"Serere","Male",33.56371,1.508385,2019-04-27,2020-04-26,1
"UG120124","MM06/123","UG120198","A","C",35,"Serere","Female",33.56343,1.497282,2019-04-27,2020-04-26,1
"MM06/123","UG130007","UG120156","C","A",48,"Serere","Female",33.54999,1.505953,2019-04-27,2020-04-26,1
"MM16/1627  ","UG120180","NAROCASS 1","C","B",29,"Serere","Male",33.55209,1.497415,2019-04-27,2020-04-26,1
"MM16/0707","UG120180","UG120024 ","B","A",26,"Serere","Male",33.56565,1.508583,2019-04-27,2020-04-26,1
"UG130016 ","UG120156","UG120193","C","B",53,"Serere","Female",33.54912,1.513662,2019-04-27,2020-04-26,1
"UG120198","NAROCASS 1","UG130007","C","A",28,"Serere","Female",33.54752,1.509272,2019-04-27,2020-04-26,1
"UG120180","UG130016 ","UG120124","B","A",53,"Serere","Male",33.60994,1.51856,2019-04-27,2020-04-26,1
"UG120193","MM16/0707","MM16/1627  ","B","A",40,"Serere","Female",33.606,1.520525,2019-04-27,2020-04-26,1
"UG120024 ","UG120198","UG130016 ","C","A",52,"Serere","Female",33.60778,1.518662,2019-04-27,2020-04-26,1
"UG130007","MM16/1627  ","MM06/123","A","B",38,"Serere","Female",33.60592,1.517083,2019-04-27,2020-04-26,1
"UG120156","NAROCASS 1","UG120124","B","A",50,"Serere","Female",33.60505,1.50977,2019-04-27,2020-04-26,1
"MM16/0707","UG120193","UG120024 ","B","C",31,"Serere","Female",33.60733,1.515023,2019-04-27,2020-04-26,1
"UG130016 ","MM06/123","UG120198","B","C",47,"Serere","Male",33.60382,1.515608,2019-04-27,2020-04-26,1
"MM16/1627  ","MM06/123","UG120156","B","A",29,"Serere","Male",33.60841,1.514718,2019-04-27,2020-04-26,1
"UG120180","UG120024 ","MM16/0707","C","B",50,"Serere","Female",33.60619,1.520108,2019-04-27,2020-04-26,1
"NAROCASS 1","UG120124","UG130007","A","B",32,"Serere","Male",33.60803,1.510528,2019-04-27,2020-04-26,1
"UG15F140P003","UG15F302P513","UG15F106P002","B","C",35,"Serere","Female",33.63203,1.444353,2021-09-27,2022-09-27,2
"UG110164","MM20180054","UG15F170P507","A","C",60,"Serere","Male",33.64214,1.462098,2021-09-27,2022-09-27,2
"UG15F302P513","UG15F106P002","UG15FF265P001","C","B",30,"Serere","Male",33.62013,1.462611,2021-09-27,2022-09-27,2
"MM20180054","UGC14170","UG15F177P502","B","A",49,"Serere","Male",33.63654,1.437609,2021-09-27,2022-09-27,2
"NAROCASS 1","UG15F302P513","UGC14170","A","C",27,"Serere","Male",33.63632,1.4402,2021-09-27,2022-09-27,2
"UGC14170","UG15F170P507","UG15F177P502","C","A",44,"Serere","Female",33.60718,1.51114,2021-09-27,2022-09-27,2
"MM20180054","UGC14170","UG15F302P513","B","C",51,"Serere","Female",33.60523,1.509553,2021-09-27,2022-09-27,2
"UG15F140P003","UG15F177P502","UG110164","C","B",30,"Serere","Male",33.60198,1.512475,2021-09-27,2022-09-27,2
"UG15F302P513","UG15F140P003","UG15F177P502","A","B",49,"Serere","Male",33.6057,1.516315,2021-09-27,2022-09-27,2
"NAROCASS 1","UG15FF265P001","MM20180054","A","C",28,"Serere","Female",33.60948,1.514349,2021-09-27,2022-09-27,2
"UG15F140P003","UG15FF265P001","MM20180054","C","B",30,"Serere","Male",33.60237,1.520692,2021-09-27,2022-09-27,2
"UG15F177P502","UG15F170P507","UG110164","C","A",32,"Serere","Male",33.60991,1.511924,2021-09-27,2022-09-27,2
"UG15F106P002","NAROCASS 1","UGC14170","B","A",31,"Serere","Male",33.60979,1.513299,2021-09-27,2022-09-27,2
"UG15FF265P001","UGC14170","UG15F302P513","B","A",34,"Serere","Male",33.42763,1.421295,2021-09-26,2022-09-26,2
"UG15F177P502","UG15F106P002","UG15F140P003","A","B",41,"Serere","Male",33.41795,1.421868,2021-09-26,2022-09-26,2
"UG15F302P513","UG15F177P502","MM20180054","C","B",47,"Serere","Male",33.42674,1.422668,2021-09-26,2022-09-26,2
"UG15F140P003","UGC14170","UG15FF265P001","A","C",41,"Serere","Female",33.36416,1.473566,2021-09-25,2022-09-25,2
"UG15F177P502","NAROCASS 1","UG15F170P507","B","C",40,"Serere","Female",33.36781,1.47753,2021-09-25,2022-09-25,2
"UG15F140P003","UG110164","MM20180054","C","B",41,"Serere","Female",33.36206,1.46597,2021-09-25,2022-09-25,2
"NAROCASS 1","UGC14170","MM20180054","B","A",39,"Serere","Female",33.35832,1.466119,2021-09-26,2022-09-26,2
"UG15F177P502","UG15F106P002","UG15FF265P001","B","C",48,"Serere","Male",33.36611,1.475071,2021-09-25,2022-09-25,2
"UG110164","UG15F170P507","NAROCASS 1","C","B",35,"Serere","Male",33.36817,1.476869,2021-09-25,2022-09-25,2
"NAROCASS 1","UG15F140P003","UG15F302P513","C","B",32,"Serere","Female",33.36761,1.475963,2021-09-25,2022-09-25,2
"UG15F106P002","UG15FF265P001","UG15F140P003","C","A",49,"Tororo","Female",34.06877,0.7972727,2021-09-30,2022-09-30,2
"MM20180054","UG15F302P513","UG15F177P502","C","B",66,"Tororo","Female",34.05633,0.796043,2021-09-30,2022-09-30,2
"UG15F106P002","UG110164","NAROCASS 1","B","A",28,"Tororo","Female",34.06749,0.8023875,2021-09-30,2022-09-30,2
"UG15F140P003","MM20180054","UG15F170P507","A","B",45,"Tororo","Male",34.06881,0.7971407,2021-09-30,2022-09-30,2
"UG15F177P502","UG15F140P003","UG110164","A","B",58,"Tororo","Male",34.07047,0.7935067,2021-09-30,2022-09-30,2
"MM20180054","NAROCASS 1","UG15FF265P001","C","A",36,"Tororo","Female",34.06803,0.7947563,2021-09-30,2022-09-30,2
"UGC14170","UG15F177P502","UG15F106P002","A","C",45,"Tororo","Female",34.06649,0.7968343,2021-09-30,2022-09-30,2
"NAROCASS 1","UG15F302P513","UG15F170P507","A","C",44,"Tororo","Female",34.06561,0.7963094,2021-09-30,2022-09-30,2
"UG15F170P507","UG15F106P002","UG15F302P513","C","A",60,"Tororo","Female",34.0697,0.8007613,2021-09-30,2022-09-30,2
"UG15F140P003","UGC14170","UG15F177P502","B","A",52,"Tororo","Male",34.06883,0.8043457,2021-09-30,2022-09-30,2
"UG15F302P513","UG15FF265P001","UG15F140P003","A","C",49,"Tororo","Female",34.06488,0.7537348,2021-09-30,2022-09-30,2
"UG110164","UG15F106P002","NAROCASS 1","A","B",51,"Tororo","Female",34.06476,0.7521432,2021-09-30,2022-09-30,2
"UG15F170P507","UGC14170","MM20180054","B","C",49,"Tororo","Female",34.06639,0.7157171,2021-09-30,2022-09-30,2
"UG15F177P502","NAROCASS 1","UG15F302P513","C","A",53,"Tororo","Female",34.071,0.7515711,2021-09-30,2022-09-30,2
"UG110164","MM20180054","UG15F140P003","C","B",46,"Tororo","Female",34.06707,0.7512034,2021-09-30,2022-09-30,2
"UG15FF265P001","UG15F170P507","UG15F177P502","A","C",49,"Tororo","Female",34.06541,0.7501853,2021-09-30,2022-09-30,2
"UGC14170","UG15FF265P001","UG15F106P002","A","C",55,"Tororo","Female",34.06789,0.7519976,2021-09-30,2022-09-30,2
"MM20180054","NAROCASS 1","UGC14170","A","C",51,"Tororo","Male",34.06754,0.7545044,2021-09-30,2022-09-30,2
"UG15F302P513","UG110164","UG15F170P507","B","C",27,"Tororo","Female",34.07111,0.7514084,2021-09-30,2022-09-30,2
"UG15F106P002","UG15F140P003","UG15F177P502","C","A",31,"Tororo","Female",34.06535,0.7502847,2021-09-30,2022-09-30,2
"NAROCASS 1","UG15F170P507","UG15F140P003","A","C",22,"Tororo","Female",34.06482,0.752291,2021-09-30,2022-09-30,2
"UG15F106P002","UG15F302P513","UG15FF265P001","B","A",27,"Tororo","Female",34.06458,0.7511485,2021-09-30,2022-09-30,2
"UGC14170","UG15F177P502","UG110164","C","A",45,"Tororo","Female",34.09764,0.8091435,2021-10-01,2022-10-01,2
"UG15F140P003","UG110164","MM20180054","B","A",43,"Tororo","Female",34.09105,0.809638,2021-10-01,2022-10-01,2
"UG15F170P507","UGC14170","UG15FF265P001","B","C",41,"Tororo","Female",34.10682,0.8068282,2021-10-01,2022-10-01,2
"UG15F177P502","MM20180054","UG15F170P507","B","A",60,"Tororo","Male",34.09756,0.8089936,2021-10-01,2022-10-01,2
"UG15F140P003","UG15F106P002","NAROCASS 1","C","B",32,"Tororo","Female",34.09857,0.8013969,2021-10-01,2022-10-01,2
"UG15F170P507","UGC14170","UG110164","B","C",47,"Tororo","Female",34.09129,0.8095678,2021-10-01,2022-10-01,2
"MM20180054","NAROCASS 1","UG15F170P507","B","A",35,"Tororo","Male",34.10689,0.7969537,2021-10-01,2022-10-01,2
"UGC14170","UG15F302P513","UG15F106P002","A","B",55,"Tororo","Female",34.07779,0.7861779,2021-10-01,2022-10-01,2
"UG15F170P507","UG15F140P003","UG15F106P002","B","C",42,"Tororo","Male",34.07655,0.7863337,2021-10-01,2022-10-01,2
"UG15FF265P001","UG110164","MM20180054","A","B",47,"Tororo","Male",34.07341,0.789917,2021-10-01,2022-10-01,2
"UG15F106P002","NAROCASS 1","UG15F177P502","B","A",45,"Tororo","Male",34.07047,0.788076,2021-10-01,2022-10-01,2
"UG15F140P003","UGC14170","UG110164","A","C",29,"Tororo","Male",34.0787,0.7852566,2021-10-01,2022-10-01,2
"MM20180054","UG15F302P513","UG15FF265P001","C","B",45,"Busia","Female",33.94553,0.2492836,2021-10-03,2022-10-03,2
"UGC14170","UG15F106P002","UG15F170P507","C","A",20,"Busia","Female",33.94493,0.2482197,2021-10-03,2022-10-03,2
"NAROCASS 1","UG15FF265P001","UG15F140P003","A","C",54,"Busia","Female",33.94515,0.248034,2021-10-03,2022-10-03,2
"UG110164","UG15F177P502","MM20180054","B","C",25,"Busia","Male",33.944,0.2471969,2021-10-03,2022-10-03,2
"UG15F106P002","MM20180054","UG110164","B","A",58,"Busia","Female",33.94958,0.2412514,2021-10-03,2022-10-03,2
"UG15F302P513","UG15F177P502","UGC14170","B","C",50,"Busia","Female",33.94971,0.2418346,2021-10-03,2022-10-03,2
"UG15F170P507","UG15F140P003","NAROCASS 1","A","C",52,"Busia","Female",33.95056,0.2444538,2021-10-03,2022-10-03,2
"UG15FF265P001","UG110164","UG15F170P507","A","C",28,"Busia","Female",33.94611,0.2472017,2021-10-03,2022-10-03,2
"NAROCASS 1","UG15F302P513","UG15F106P002","A","B",50,"Busia","Male",33.94709,0.246362,2021-10-03,2022-10-03,2
"UG15F140P003","MM20180054","UG15F177P502","A","B",21,"Busia","Female",33.94465,0.2474639,2021-10-03,2022-10-03,2
"UGC14170","UG15FF265P001","UG15F140P003","C","B",57,"Busia","Male",33.94958,0.2462317,2021-10-03,2022-10-03,2
"UG15F177P502","UG15F302P513","UG15FF265P001","C","B",53,"Busia","Female",33.93949,0.2579312,2021-10-03,2022-10-03,2
"UG110164","UG15F106P002","UGC14170","A","B",32,"Busia","Male",33.93884,0.2795132,2021-10-03,2022-10-03,2
"UG15F170P507","UGC14170","UG15F177P502","C","A",50,"Busia","Female",33.92986,0.2779184,2021-10-03,2022-10-03,2
"UG15F106P002","UG110164","MM20180054","C","B",42,"Busia","Female",33.93798,0.2850116,2021-10-03,2022-10-03,2
"UG15F140P003","NAROCASS 1","UG15F302P513","C","B",45,"Busia","Female",33.93815,0.2792375,2021-10-03,2022-10-03,2
"UG15F177P502","UG15F170P507","UG110164","C","A",24,"Busia","Male",33.93888,0.2795277,2021-10-03,2022-10-03,2
"MM20180054","UG15F177P502","UG15F140P003","B","C",52,"Busia","Female",33.94032,0.2804817,2021-10-03,2022-10-03,2
"UG15F140P003","MM20180054","UG15FF265P001","B","A",40,"Busia","Female",33.92953,0.2762053,2021-10-03,2022-10-03,2
"UGC14170","UG110164","NAROCASS 1","B","C",28,"Busia","Male",33.93859,0.2794079,2021-10-03,2022-10-03,2
"UG15F302P513","UG15F140P003","UGC14170","B","C",35,"Busia","Male",33.9305,0.4985642,2021-10-02,2022-10-02,2
"NAROCASS 1","UG15F177P502","UG15F170P507","A","C",32,"Busia","Female",33.94956,0.5129946,2021-10-02,2022-10-02,2
"UG110164","UG15FF265P001","UG15F106P002","A","B",45,"Busia","Male",33.94935,0.5166387,2021-10-02,2022-10-02,2
"UGC14170","MM20180054","UG15F170P507","C","A",40,"Busia","Female",33.94843,0.4996886,2021-10-02,2022-10-02,2
"UG110164","UG15F140P003","UG15F302P513","A","C",42,"Busia","Female",33.93097,0.506733,2021-10-02,2022-10-02,2
"UG15F170P507","UG15F302P513","UG15F106P002","A","B",45,"Busia","Female",33.946,0.5020702,2021-10-02,2022-10-02,2
"MM20180054","UG15F170P507","UG15F177P502","C","B",50,"Busia","Male",33.98445,0.463953,2021-10-02,2022-10-02,2
"UG15FF265P001","UG15F106P002","MM20180054","A","C",40,"Busia","Male",33.96954,0.4569617,2021-10-02,2022-10-02,2
"UG15F302P513","UGC14170","UG110164","A","B",31,"Busia","Male",33.96064,0.4690686,2021-10-02,2022-10-02,2
"UG15F177P502","UG15FF265P001","UG15F140P003","A","C",49,"Busia","Male",33.95374,0.4624975,2021-10-02,2022-10-02,2
"NAROCASS 1","MM20180054","UG15F177P502","C","B",27,"Busia","Male",33.99123,0.4606063,2021-10-02,2022-10-02,2
"UG15F302P513","UG15F140P003","UG15FF265P001","A","C",22,"Busia","Male",33.95286,0.4665088,2021-10-02,2022-10-02,2
"UG15F170P507","UG15FF265P001","MM20180054","B","A",48,"Busia","Female",33.97802,0.4666487,2021-10-02,2022-10-02,2
"UG15F177P502","UG15F170P507","UG15F302P513","A","B",57,"Dokolo","Male",33.10372,2.023823,2021-09-29,2022-09-29,2
"MM20180054","UG15F302P513","UGC14170","B","A",35,"Dokolo","Female",33.09882,2.007729,2021-09-29,2022-09-29,2
"UG15F177P502","UG15F106P002","MM20180054","C","B",35,"Dokolo","Male",33.10225,2.021978,2021-09-29,2022-09-29,2
"UG15FF265P001","UGC14170","UG110164","B","C",31,"Dokolo","Female",33.09846,2.020674,2021-09-29,2022-09-29,2
"UG15F170P507","UG110164","UG15F106P002","C","B",35,"Dokolo","Male",33.10633,2.016391,2021-09-29,2022-09-29,2
"UG15F302P513","UG15FF265P001","UG15F177P502","B","C",35,"Dokolo","Male",33.1042,2.016353,2021-09-29,2022-09-29,2
"UGC14170","UG15F170P507","NAROCASS 1","C","A",33,"Dokolo","Male",33.10362,2.017244,2021-09-29,2022-09-29,2
"MM20180054","UG15F140P003","UG15FF265P001","A","B",38,"Dokolo","Female",33.12796,1.938424,2021-09-29,2022-09-29,2
"UG15F170P507","UG15F177P502","UG15F140P003","A","B",48,"Dokolo","Male",33.12916,1.937782,2021-09-29,2022-09-29,2
