,Trait code,Trait label,description,cycle,time
64,tricot2021_2022flour.basedmealdataat12map_qst_easemingleflour,Ease of mixing flour paste - 12 MAP,,cycle_2,12_MAP
65,tricot2021_2022flour.basedmealdataat12map_qst_performflourmeal,Preferred flour based meal - 12 MAP,,cycle_2,12_MAP
66,tricot2021_2022flour.basedmealdataat12map_qst_performplantflourmeal,Overall performance from planting to flour meal-12 MAP,,cycle_2,12_MAP
67,tricot2021_2022flour.basedmealdataat12map_qst_sticknesspaste,Stickiness of paste -12 MAP,,cycle_2,12_MAP
68,tricot2021_2022flour.basedmealdataat12map_qst_tastecassavapaste,Taste of flour meal - 12 MAP,,cycle_2,12_MAP
69,tricot2021_2022flour.basedmealdataat12map_qst_texturecassavapaste,Texture of flour meal - 12 MAP,,cycle_2,12_MAP
70,tricot2021mid.altitudedata.6map_aboutdiseaseres,Susceptibility to CMD/CBSD - 6 MAP,,cycle_2,6_MAP
71,tricot2021mid.altitudedata.6map_aboutpestresis,Susceptibility to pests - 6 MAP,,cycle_2,6_MAP
72,tricot2021mid.altitudedata.6map_branchhabit,Branching habit - 6 MAP,,cycle_2,6_MAP
73,tricot2021mid.altitudedata.6map_generalappearanc,General appearance - 6 MAP,,cycle_2,6_MAP
74,tricot2021mid.altitudedata.6map_stemquality,Steam appearance - 6 MAP,,cycle_2,6_MAP
75,tricot2021mid.altitudedatacollection.d3map_aboutdiseaseres,Susceptibility to CMD/CBSD - 3 MAP,,cycle_2,3_MAP
76,tricot2021mid.altitudedatacollection.d3map_aboutpestresis,Susceptibility to pests - 3 MAP,,cycle_2,3_MAP
77,tricot2021mid.altitudedatacollection.d3map_aboutvigor,Vigor - 3 MAP,,cycle_2,3_MAP
78,tricot2021mid.altitudedatacollection.d3map_germination,Germination - 3 MAP,,cycle_2,3_MAP
