"maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p"
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.7612548828125,22.2394653320313,19.9857421875,16.2486206054688,7,8,0,0,12,7,17.0300689697266,28.0996032714844
30.4111572265625,22.2512145996094,19.1788269042969,15.3359619140625,8,2,0,0,12,7,16.0842681884766,27.8483367919922
30.3608947753906,22.4416137695313,19.4225708007813,15.4001708984375,8,2,0,0,12,6,16.091195678711,27.8766265869141
30.4111572265625,22.2512145996094,19.1788269042969,15.3359619140625,8,2,0,0,12,7,16.0842681884766,27.8483367919922
30.4111572265625,22.2512145996094,19.1788269042969,15.3359619140625,8,2,0,0,12,7,16.0842681884766,27.8483367919922
30.4111572265625,22.2512145996094,19.1788269042969,15.3359619140625,8,2,0,0,12,7,16.0842681884766,27.8483367919922
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
31.2306457519531,21.98037109375,19.47255859375,15.0979248046875,8,8,0,0,12,4,16.2882476806641,28.0204711914063
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
30.0613952636719,21.8643432617188,18.9562927246094,15.1647277832031,8,1,0,0,12,3,16.0729156494141,27.6409851074219
32.08681640625,23.1606384277344,19.6972595214844,15.0075927734375,10,41,0,0,10,4,16.3462005615235,30.3337341308594
32.08681640625,23.1606384277344,19.6972595214844,15.0075927734375,10,41,0,0,10,4,16.3462005615235,30.3337341308594
31.739404296875,22.6055847167969,20.123681640625,16.230615234375,9,29,0,0,12,2,17.0028625488281,29.5720153808594
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.7016540527344,23.0549560546875,20.3529907226563,16.3276306152344,9,47,0,0,12,2,17.1551300048828,30.4612518310547
32.08681640625,23.1606384277344,19.6972595214844,15.0075927734375,10,41,0,0,10,4,16.3462005615235,30.3337341308594
32.08681640625,23.1606384277344,19.6972595214844,15.0075927734375,10,41,0,0,10,4,16.3462005615235,30.3337341308594
31.4336791992188,22.8592163085938,19.7317138671875,15.4352661132813,9,30,0,0,10,4,16.4424072265625,29.7376647949219
31.4336791992188,22.8592163085938,19.7317138671875,15.4352661132813,9,30,0,0,10,4,16.4424072265625,29.7376647949219
32.08681640625,23.1606384277344,19.6972595214844,15.0075927734375,10,41,0,0,10,4,16.3462005615235,30.3337341308594
31.4336791992188,22.8592163085938,19.7317138671875,15.4352661132813,9,30,0,0,10,4,16.4424072265625,29.7376647949219
