"MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII"
7,36,42,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1674.91999840736,5.90823528818967
7,36,42,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1674.91999840736,5.90823528818967
7,36,42,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1674.91999840736,5.90823528818967
7,36,44,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1691.09999811649,5.96422144635274
7,36,42,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1674.91999840736,5.90823528818967
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,44,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1691.09999811649,5.96422144635274
7,36,42,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1674.91999840736,5.90823528818967
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
7,36,43,1,23.4699993133545,60.1599988937378,301.829998016357,80.8499984741211,1680.5999982357,5.92788926683444
8,33,34,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1528.15000212193,5.8464552319136
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1736.02000176907,6.13899306160682
8,33,33,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1517.38000166416,5.80626866304135
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1736.02000176907,6.13899306160682
8,33,34,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1528.15000212193,5.8464552319136
8,33,34,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1528.15000212193,5.8464552319136
8,33,34,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1528.15000212193,5.8464552319136
8,33,34,0,19.7700004577637,55.7300004959106,265.940000534058,73.7800006866455,1528.15000212193,5.8464552319136
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
7,39,32,4,25.1900005340576,61.2300004959106,286.670002937317,90.0100021362305,1738.63000190258,6.14805556207042
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
16,57,38,7,36.2599983215332,77.4700002670288,370.170000076294,129.020000457764,1901.3799983263,6.52505084201062
16,57,37,6,36.2599983215332,71.8299989700317,358.069999694824,122.940000534058,1870.29999709129,6.39533782816442
16,57,38,7,36.2599983215332,77.4700002670288,370.170000076294,129.020000457764,1901.3799983263,6.52505084201062
16,57,37,6,36.2599983215332,71.8299989700317,358.069999694824,122.940000534058,1870.29999709129,6.39533782816442
16,57,39,7,36.2599983215332,77.4700002670288,370.170000076294,129.020000457764,1907.24999821186,6.54494914670743
16,57,38,7,36.2599983215332,77.4700002670288,370.170000076294,129.020000457764,1901.3799983263,6.52505084201062
16,57,38,7,36.2599983215332,77.4700002670288,370.170000076294,129.020000457764,1901.3799983263,6.52505084201062
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
12,57,75,8,44.0400009155273,82.3300013542175,410.929997444153,138.869998931885,2402.9099919796,7.91859474526779
