"max_24t","max_dt","mean_24t","mean_dt","mean_nt","min_24t","min_nt","rainfall","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18","srf","rainfall_total"
25.8197696706637,25.8197696706637,21.3881858283705,22.2440573937255,20.582085347827,17.8863656966413,18.051217151079,4.66524589695851,96.3588654460803,81.138310041584,67.5237415553442,66.5122321446737,71.2486088966411,18730995.3825137,1707.47999828681
25.8197696706637,25.8197696706637,21.3881858283705,22.2440573937255,20.582085347827,17.8863656966413,18.051217151079,4.66524589695851,96.3588654460803,81.138310041584,67.5237415553442,66.5122321446737,71.2486088966411,18730995.3825137,1707.47999828681
25.8197696706637,25.8197696706637,21.3881858283705,22.2440573937255,20.582085347827,17.8863656966413,18.051217151079,4.66524589695851,96.3588654460803,81.138310041584,67.5237415553442,66.5122321446737,71.2486088966411,18730995.3825137,1707.47999828681
25.8200429113836,25.8200429113836,21.387907167862,22.2424440477715,20.5848890460906,17.8892370171886,18.0539302971845,4.709453546437,96.3528104167167,81.145576060144,67.5434593711395,66.5537227932873,71.2629468636434,18724250.5054645,1723.65999799594
25.8197696706637,25.8197696706637,21.3881858283705,22.2440573937255,20.582085347827,17.8863656966413,18.051217151079,4.66524589695851,96.3588654460803,81.138310041584,67.5237415553442,66.5122321446737,71.2486088966411,18730995.3825137,1707.47999828681
25.8246441450276,25.8246441450276,21.3899377541464,22.2455766021228,20.5833560797686,17.8871963417595,18.0519887621937,4.68076502217255,96.3513722758476,81.1414275247543,67.5281082997556,66.5192172097378,71.2443402712462,18740077.4234973,1713.15999811515
25.8246441450276,25.8246441450276,21.3899377541464,22.2455766021228,20.5833560797686,17.8871963417595,18.0519887621937,4.68076502217255,96.3513722758476,81.1414275247543,67.5281082997556,66.5192172097378,71.2443402712462,18740077.4234973,1713.15999811515
25.8246441450276,25.8246441450276,21.3899377541464,22.2455766021228,20.5833560797686,17.8871963417595,18.0519887621937,4.68076502217255,96.3513722758476,81.1414275247543,67.5281082997556,66.5192172097378,71.2443402712462,18740077.4234973,1713.15999811515
25.8200429113836,25.8200429113836,21.387907167862,22.2424440477715,20.5848890460906,17.8892370171886,18.0539302971845,4.709453546437,96.3528104167167,81.145576060144,67.5434593711395,66.5537227932873,71.2629468636434,18724250.5054645,1723.65999799594
25.8197696706637,25.8197696706637,21.3881858283705,22.2440573937255,20.582085347827,17.8863656966413,18.051217151079,4.66524589695851,96.3588654460803,81.138310041584,67.5237415553442,66.5122321446737,71.2486088966411,18730995.3825137,1707.47999828681
25.6667770469124,25.6667770469124,20.7451664492081,21.862828806059,19.6669427256767,16.9960491242956,17.164956414895,4.68076502217255,96.6328761825145,81.9692189888876,69.6204524535299,68.8795469315326,75.539441145183,18586760.9344262,1713.15999811515
25.7811347502829,25.7811347502829,20.8578082475506,21.9363609105512,19.809667351728,17.1000155089332,17.2786690800568,4.68076502217255,95.752163016731,81.9029870163548,69.8776901120045,69.7720579553823,76.5848466216541,18404691.2322404,1713.15999811515
25.6667770469124,25.6667770469124,20.7451664492081,21.862828806059,19.6669427256767,16.9960491242956,17.164956414895,4.68076502217255,96.6328761825145,81.9692189888876,69.6204524535299,68.8795469315326,75.539441145183,18586760.9344262,1713.15999811515
25.6667770469124,25.6667770469124,20.7451664492081,21.862828806059,19.6669427256767,16.9960491242956,17.164956414895,4.68076502217255,96.6328761825145,81.9692189888876,69.6204524535299,68.8795469315326,75.539441145183,18586760.9344262,1713.15999811515
25.6667770469124,25.6667770469124,20.7451664492081,21.862828806059,19.6669427256767,16.9960491242956,17.164956414895,4.68076502217255,96.6328761825145,81.9692189888876,69.6204524535299,68.8795469315326,75.539441145183,18586760.9344262,1713.15999811515
26.0940444862908,26.0940444862908,21.1244540021719,22.1910253472667,20.1223642151213,17.1281534663967,17.2876926943253,4.28101093484384,94.8869099121927,80.3517345991291,66.4356738126994,65.3950707899417,72.3474890912166,18860601.9016393,1566.85000215285
25.6766096271453,25.6766096271453,20.7087051141458,21.7856368434885,19.689898948461,16.9303647901191,17.0984832930435,4.83068306487094,95.5780121224825,82.3319199046151,68.9537342467595,69.4060685308905,79.7763102484531,18639817.3688525,1768.03000174277
26.093216259232,26.093216259232,21.1260404993276,22.1933748672569,20.1209549033577,17.1258940816577,17.2858001875747,4.25158470408492,94.8950724471462,80.3358408193119,66.4032996443452,65.3807661129477,72.3157817861422,18870493.442623,1556.08000169508
25.6766096271453,25.6766096271453,20.7087051141458,21.7856368434885,19.689898948461,16.9303647901191,17.0984832930435,4.83068306487094,95.5780121224825,82.3319199046151,68.9537342467595,69.4060685308905,79.7763102484531,18639817.3688525,1768.03000174277
26.0940444862908,26.0940444862908,21.1244540021719,22.1910253472667,20.1223642151213,17.1281534663967,17.2876926943253,4.28101093484384,94.8869099121927,80.3517345991291,66.4356738126994,65.3950707899417,72.3474890912166,18860601.9016393,1566.85000215285
26.0940444862908,26.0940444862908,21.1244540021719,22.1910253472667,20.1223642151213,17.1281534663967,17.2876926943253,4.28101093484384,94.8869099121927,80.3517345991291,66.4356738126994,65.3950707899417,72.3474890912166,18860601.9016393,1566.85000215285
26.0940444862908,26.0940444862908,21.1244540021719,22.1910253472667,20.1223642151213,17.1281534663967,17.2876926943253,4.28101093484384,94.8869099121927,80.3517345991291,66.4356738126994,65.3950707899417,72.3474890912166,18860601.9016393,1566.85000215285
