"maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p"
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.7612548828125,22.2394653320313,20.2127014160156,16.40419921875,7,8,0,0,12,7,17.178369140625,28.0996032714844
30.4111572265625,22.2512145996094,19.4673706054688,15.4420104980469,8,2,0,0,12,7,16.2158294677735,27.8483367919922
30.3608947753906,22.4416137695313,19.7278686523438,15.4538513183594,8,2,0,0,12,6,16.2257934570313,27.8766265869141
30.4111572265625,22.2512145996094,19.4673706054688,15.4420104980469,8,2,0,0,12,7,16.2158294677735,27.8483367919922
30.4111572265625,22.2512145996094,19.4673706054688,15.4420104980469,8,2,0,0,12,7,16.2158294677735,27.8483367919922
30.4111572265625,22.2512145996094,19.4673706054688,15.4420104980469,8,2,0,0,12,7,16.2158294677735,27.8483367919922
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
31.2306457519531,21.98037109375,19.700830078125,15.5574584960938,8,8,0,0,12,4,16.4091278076172,28.0204711914063
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
30.0613952636719,21.8643432617188,19.2074523925781,15.2216125488281,8,1,0,0,12,3,16.1994567871094,27.6409851074219
32.08681640625,23.1606384277344,19.96474609375,15.5453735351563,10,41,0,0,10,4,16.443017578125,30.3337341308594
32.08681640625,23.1606384277344,19.96474609375,15.5453735351563,10,41,0,0,10,4,16.443017578125,30.3337341308594
31.739404296875,22.6055847167969,20.4671264648438,16.3197875976563,9,29,0,0,12,3,17.1233917236328,29.5720153808594
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.7016540527344,23.0549560546875,20.7815795898438,16.4157348632813,9,47,0,0,12,3,17.3021026611328,30.4612518310547
32.08681640625,23.1606384277344,19.96474609375,15.5453735351563,10,41,0,0,10,4,16.443017578125,30.3337341308594
32.08681640625,23.1606384277344,19.96474609375,15.5453735351563,10,41,0,0,10,4,16.443017578125,30.3337341308594
31.4336791992188,22.8592163085938,20.0029541015625,15.7860656738281,9,30,0,0,10,4,16.5395599365235,29.7376647949219
31.4336791992188,22.8592163085938,20.0029541015625,15.7860656738281,9,30,0,0,10,4,16.5395599365235,29.7376647949219
32.08681640625,23.1606384277344,19.96474609375,15.5453735351563,10,41,0,0,10,4,16.443017578125,30.3337341308594
31.4336791992188,22.8592163085938,20.0029541015625,15.7860656738281,9,30,0,0,10,4,16.5395599365235,29.7376647949219
